```txt
RONIN_INDEX.txt
(45 Ronin Mutant Portrait Specs — filenames + origin House + gene-code + formal/common + triggers)

# Notes:
# - These are the SAME 45 mutations, but DISOWNED (Ronin).
# - “Ronin slurs” are status-trigger insults used by elites/loyalists:
#   Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag
# - Each Ronin still has its original Contempt-Flag “genetic slurs” (two per type) that spike agitation.
# - Accent rule stays: EXACTLY ONE toxic accent dot (dim/flickering), matching origin House color family.

[01] portrait_ronin_vesperin_peregrine_cutthroat_v01.png | Origin House: Vesperin | Code: AER-PRG | Formal: Vesperin AER-PRG “Falconid Praetorian” | Common: Peregrine Cutthroat | Genetic Slurs: Clipwing; Noble Bird | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Peregrine Falcon
[20] portrait_ronin_dravessa_tasmanian_devil_frenzied_v01.png | Origin House: Dravessa | Code: FER-TDV | Formal: Dravessa FER-TDV “Frenzied Bite-Unit” | Common: Frenzied | Genetic Slurs: Yapper; Spin-Maw | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Tasmanian Devil

[21] portrait_ronin_kyranth_piranha_gnawer_v01.png | Origin House: Kyranth | Code: PEL-PRN | Formal: Kyranth PEL-PRN “Gnawer Shearpack” | Common: Gnawer | Genetic Slurs: Nibber; Toothschool | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Piranha
[22] portrait_ronin_kyranth_barracuda_lancer_v01.png | Origin House: Kyranth | Code: PEL-BRC | Formal: Kyranth PEL-BRC “Lancer Needlejaw” | Common: Lancer | Genetic Slurs: Spikejaw; Silver-Biter | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Barracuda
[23] portrait_ronin_kyranth_angler_lure_priest_v01.png | Origin House: Kyranth | Code: PEL-ANG | Formal: Kyranth PEL-ANG “Lure-Priest Deepline” | Common: Lure-Priest | Genetic Slurs: Glow-Gulp; Baitface | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Anglerfish
[24] portrait_ronin_kyranth_moray_coil_biter_v01.png | Origin House: Kyranth | Code: PEL-MRY | Formal: Kyranth PEL-MRY “Coil-Biter Trenchform” | Common: Coil-Biter | Genetic Slurs: Drainrope; Pipejaw | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Moray Eel
[25] portrait_ronin_kyranth_hammerhead_wrecker_v01.png | Origin House: Kyranth | Code: PEL-HMR | Formal: Kyranth PEL-HMR “Wrecker Lateral-Eye” | Common: Wrecker | Genetic Slurs: Widehead; Boat-Club | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Hammerhead Shark

[26] portrait_ronin_aurelianth_aurochs_bannerhulk_v01.png | Origin House: Aurelianth | Code: REG-AUR | Formal: Aurelianth REG-AUR “Bannerhulk Prime” | Common: Bannerhulk | Genetic Slurs: Yard-Ox; Hornbanner | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Aurochs
[27] portrait_ronin_aurelianth_mammoth_tusk_lord_v01.png | Origin House: Aurelianth | Code: REG-MAM | Formal: Aurelianth REG-MAM “Tusk-Lord Colossus” | Common: Tusk-Lord | Genetic Slurs: Rugstack; Old-Tusk | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Woolly Mammoth
[28] portrait_ronin_aurelianth_smilodon_fang_prime_v01.png | Origin House: Aurelianth | Code: REG-SML | Formal: Aurelianth REG-SML “Fang-Prime Sabercat” | Common: Fang-Prime | Genetic Slurs: Knifegrin; Museum-Cat | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Smilodon
[29] portrait_ronin_aurelianth_terror_bird_gate_kicker_v01.png | Origin House: Aurelianth | Code: REG-TRB | Formal: Aurelianth REG-TRB “Gate-Kicker Beakline” | Common: Gate-Kicker | Genetic Slurs: Kickbird; Beak-Brute | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Terror Bird
[30] portrait_ronin_aurelianth_giant_elk_crownstag_v01.png | Origin House: Aurelianth | Code: REG-ELK | Formal: Aurelianth REG-ELK “Crownstag Antler-Regent” | Common: Crownstag | Genetic Slurs: Branchhead; Rack-Rat | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Giant Elk (Megaloceros)

[31] portrait_ronin_vahloran_pangolin_scale_lock_v01.png | Origin House: Vahloran | Code: CAV-PNG | Formal: Vahloran CAV-PNG “Scale-Lock Sentinel” | Common: Scale-Lock | Genetic Slurs: Shingleback; Tin-Runner | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Pangolin
[32] portrait_ronin_vahloran_armadillo_rollguard_v01.png | Origin House: Vahloran | Code: CAV-ARM | Formal: Vahloran CAV-ARM “Rollguard Carapace” | Common: Rollguard | Genetic Slurs: Canback; Casket-Skin | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Armadillo
[33] portrait_ronin_vahloran_naked_molerat_tunnel_savant_v01.png | Origin House: Vahloran | Code: CAV-NMR | Formal: Vahloran CAV-NMR “Tunnel Savant Worker-Kin” | Common: Tunnel Savant | Genetic Slurs: Pink Digger; Nubtooth | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Naked Mole-Rat
[34] portrait_ronin_vahloran_emperor_scorpion_stinger_adjunct_v01.png | Origin House: Vahloran | Code: CAV-SCR | Formal: Vahloran CAV-SCR “Stinger Adjunct Chitinline” | Common: Stinger Adjunct | Genetic Slurs: Pincher; Tailhook | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Emperor Scorpion
[35] portrait_ronin_vahloran_trapdoor_spider_ambusher_v01.png | Origin House: Vahloran | Code: CAV-TDS | Formal: Vahloran CAV-TDS “Ambusher Latchform” | Common: Ambusher | Genetic Slurs: Latchbug; Hatch-Crawler | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Trapdoor Spider

[36] portrait_ronin_sablehart_jaguar_shadow_pouncer_v01.png | Origin House: Sablehart | Code: UMB-JGR | Formal: Sablehart UMB-JGR “Shadow Pouncer Line” | Common: Shadow Pouncer | Genetic Slurs: Spotcoat; Nightcat | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Jaguar
[37] portrait_ronin_sablehart_snow_leopard_ridge_stalker_v01.png | Origin House: Sablehart | Code: UMB-SNL | Formal: Sablehart UMB-SNL “Ridge Stalker Paleform” | Common: Ridge Stalker | Genetic Slurs: Frost-Fur; Cliffcat | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Snow Leopard
[38] portrait_ronin_sablehart_lynx_hookear_v01.png | Origin House: Sablehart | Code: UMB-LYN | Formal: Sablehart UMB-LYN “Hookear Listener-Killer” | Common: Hookear | Genetic Slurs: Tufthead; Bobtail | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Lynx
[39] portrait_ronin_sablehart_caracal_leap_slasher_v01.png | Origin House: Sablehart | Code: UMB-CRC | Formal: Sablehart UMB-CRC “Leap Slasher” | Common: Leap Slasher | Genetic Slurs: Stickear; Sandcat | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Caracal
[40] portrait_ronin_sablehart_dire_wolf_pack_alpha_v01.png | Origin House: Sablehart | Code: UMB-DRW | Formal: Sablehart UMB-DRW “Pack-Alpha Extantline” | Common: Pack-Alpha | Genetic Slurs: Gravehound; Oldfang | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Dire Wolf

[41] portrait_ronin_noxmere_cane_toad_blight_speaker_v01.png | Origin House: Noxmere | Code: MYC-CTD | Formal: Noxmere MYC-CTD “Blight-Speaker Glandline” | Common: Blight-Speaker | Genetic Slurs: Wartmouth; Poison-Thunk | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Cane Toad
[42] portrait_ronin_noxmere_locust_swarm_herald_v01.png | Origin House: Noxmere | Code: MYC-LCS | Formal: Noxmere MYC-LCS “Swarm Herald Chitterline” | Common: Swarm Herald | Genetic Slurs: Crop-Eater; Dustwing | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Locust
[43] portrait_ronin_noxmere_wasp_needle_host_v01.png | Origin House: Noxmere | Code: MYC-WSP | Formal: Noxmere MYC-WSP “Needle Host Stingline” | Common: Needle Host | Genetic Slurs: Skewer; Buzzknife | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Wasp
[44] portrait_ronin_noxmere_cormorant_drown_hunter_v01.png | Origin House: Noxmere | Code: MYC-CRM | Formal: Noxmere MYC-CRM “Drown Hunter Waterline” | Common: Drown Hunter | Genetic Slurs: Sinkbird; Wetknife | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Cormorant
[45] portrait_ronin_noxmere_lamprey_sucker_doctor_v01.png | Origin House: Noxmere | Code: MYC-LMP | Formal: Noxmere MYC-LMP “Sucker-Doctor Ringjaw” | Common: Sucker-Doctor | Genetic Slurs: Donut-Maw; Plugface | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Lamprey
```
